choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
10 PC Choice,180060,,Orange,.0,180060,,.0,,180060,,.0,
3 Dipping Sauces,191005,,Orange,.0,191005,,.0,,191005,,.0,
3 Dipping Sauces,191009,,Orange,.0,191009,,.0,,191009,,.0,
3 Dipping Sauces,191008,,Orange,.0,191008,,.0,,191008,,.0,
3 Dipping Sauces,191007,,Orange,.0,191007,,.0,,191007,,.0,
3 Dipping Sauces,191006,,Orange,.0,191006,,.0,,191006,,.0,
3 Dipping Sauces,191010,,Orange,.0,191010,,.0,,191010,,.0,
6 Nuggets Choice,184000,,Orange,.0,184000,,.0,,184000,,.0,
2 Dipping Sauces,191005,,Orange,.0,191005,,.0,,191005,,.0,
2 Dipping Sauces,191009,,Orange,.0,191009,,.0,,191009,,.0,
2 Dipping Sauces,191008,,Orange,.0,191008,,.0,,191008,,.0,
2 Dipping Sauces,191007,,Orange,.0,191007,,.0,,191007,,.0,
2 Dipping Sauces,191006,,Orange,.0,191006,,.0,,191006,,.0,
2 Dipping Sauces,191010,,Orange,.0,191010,,.0,,191010,,.0,
Combo Sides Choice,136005,,,,136015,,,2.00,136015,,,
Combo Sides Choice,136005,,,,136015,,,2.00,136015,,,
Combo Sides Choice,136040,,Orange,.0,136040,,.0,,136040,,.0,
Combo Sides Choice,136026,,Orange,.0,136026,,.0,,136026,,.0,
Combo Sides Choice,136046,,Orange,.0,136046,,.0,,136046,,.0,
Zinger Stacker® Burger Combo choice,100500,,Orange,.0,100500,,.0,,100500,,.0,
10 Wicked Wings,181002,,Orange,.0,181002,,.0,,181002,,.0,
6 Wicked Wings,181001,,Orange,.0,181001,,.0,,181001,,.0,
3 PC Original Tenders Choice,183001,,Orange,.0,183001,,.0,,183001,,.0,
Kids Meal Snack Popcorn Chicken,185002,,Orange,.0,185002,,.0,,185002,,.0,
Original Crispy Burger,100088,,Orange,.0,100088,,.0,,100088,,.0,
Boxed Drinks,141007,,,,141111,,,.90,141111,,,
Boxed Drinks,141007,,,,141111,,,.90,141111,,,
Boxed Drinks,141040,,,,141043,,,.90,141043,,,
Boxed Drinks,141040,,,,141043,,,.90,141043,,,
Boxed Drinks,141020,,,,141025,,,.90,141025,,,
Boxed Drinks,141020,,,,141025,,,.90,141025,,,
