Name,POSNumber,MenuItemUniqueID
<Burgers>,100000,c7c8b054-2740-4199-b116-4bdd53edc86a
<Burgers>,100001,3ead9043-a057-4806-bafe-dd85aaecf70a
---------------,100002,55d0673e-2e4b-4cc8-8c2a-bc1cd4d64dca
Spicy Burger,100003,78b1728f-ff2e-4b27-997e-fa0c64fd8600
Taco Burger Tes,100005,c9d99cd8-799b-4e59-a881-3758d3fe304e
Make it a Combo,100040,50b97887-3d91-4a59-8e72-be0da60baf8c
Fillet Burger,100050,25f83339-b76a-4f30-9e90-1152972209d6
B&C Burger,100051,26768ff2-784c-46e2-8172-a24305cd09d6
Delete this now,100052,76657b05-1227-4447-b1e3-573499ee7429
Gravy Burger,100053,59e65c99-0c3e-43f9-9faa-8cf612cde582
Zng B&C Burger,100054,dcc4d9be-b0a3-4a51-a9aa-e7a5aade0e19
Zng BBQ B&C Bgr,100055,27860441-2f00-4b27-8537-d4ac04ac328c
Waffle Double,100056,8a03b648-7d45-4255-bb28-7c8695c8bf56
Double Tender,100057,6ae00aaa-af72-4412-b47c-8aa7801a8711
!Zng Waffle Dbl,100058,c6e20af4-9269-416f-b10b-fb0a103e019e
Zinger Chipster,100059,54c504a0-26df-4cb0-be7c-72ca4a8926b4
Double Tender,100060,68cae0c0-a502-4ed4-91a4-96fdcc597f71
Fillet B&C,100061,4bdcc287-2134-49c7-9b2a-f604dfffe4da
Zinger B&C.,100062,250a0c24-a4ac-419c-9406-169cb0e8dace
BBQ B&C Stacker,100063,5f883e37-d32a-412d-abf5-125649355447
Tender Crunch,100064,89344118-362c-4ed4-b4ce-1cf26e7bd2d4
Stacker Crunch,100065,b681bb9c-35df-452c-b368-8421eb4ce039
Bacon Lovers,100066,0d7fac7b-90c9-4ff1-bf3e-b2e18cd87b53
Bacon Lovers,100067,b36d1f2e-182e-4c1c-aed7-8c7daef4821a
Zinger Crunch,100068,cbd0e007-a727-4aff-9ca0-d0f39611a836
B&C Tender,100069,7185e470-51a4-4d23-9048-3d9502405272
Zng B&C Stacker,100070,98dca311-a0a2-4895-992e-88c84790e5db
Zinger Burger,100071,bed56b03-bce7-41e6-8e94-ed71869ae1c9
Zinger Double,100072,66951628-22a1-4c8a-a2fc-2fa4f120b928
Double Tender,100073,b7f49c61-237b-487b-a0cd-72902f22169c
Bacon Lovers,100074,4933c20d-7793-42ad-b17e-b589ddd0599b
Zinger Crunch.,100075,620b15b4-6857-4764-9927-2f9e8df94352
Zinger Burger,100076,2cd75adb-3530-4cbb-b666-2548dfef7271
-------------,100077,3cd7c02f-e773-4d47-b2d6-93660846521d
OC Double,100078,2fcb3659-f0ed-4079-90d9-ed9c6ae6c14d
OC Chipster,100079,1c727268-1785-4d25-84f5-691816d32af5
-------------,100080,3587cee3-446c-4903-9e0d-ee508c94fee9
Zn Crunch Stack,100084,94915ae8-af14-43f2-8a92-bc66cfe18743
Famous Burger,100085,53dabbfb-9481-4430-82e6-43c44c1a6b02
Famous B&C Burg,100086,f14115b3-ed85-47ac-ba8f-f39f95f2c2db
Famous Stacker,100087,c4d2a11c-e3c3-450c-bbfe-44ef5ce02cb8
Orig Crispy Bgr,100088,10ea8948-17f0-47b2-bdba-df649d7082fc
OC B&C,100089,7b8459a5-3ff6-4a05-9af1-8e3f07a4a1e3
OC BBQ Stacker.,100090,15a98dd8-ab3c-4877-984c-c72f7cd76904
Orig Crispy Bgr,100091,4c6eb056-c391-4665-951c-f3895314312a
Orig Crispy Bgr,100092,d0799b92-ba93-4735-8e76-862eef7b7832
Taco Burger,100100,e92e03a3-bfc1-4429-83fe-37bbf1f8e38f
Taco Burger X,100101,54447643-5db7-4b9e-9529-54a2179ab30b
Pizza Burger,100102,a4f49cdc-fbc7-43a2-9c54-843bac4205ce
Peter Test Item,100103,514ff33d-5349-454d-850b-71587036dcf6
Pizza Burger11,100104,a2c8c5a4-5e81-4b05-bdf8-99a62f5dd0b0
Peter Test Item,100105,a069a8cb-64f7-4d19-8bad-8e3c4b83aa90
Peter Item7,100107,636f6ec1-02b2-4b27-a67f-c7d314dec86b
Peter Item8,100108,1c9561a7-14ec-42b2-a3d1-728aad47bed9
Peter Item9,100109,c3b95adf-323a-45ea-b90e-7d66de1b8586
Peter Item10,100110,7c35efbc-9462-47fb-8a5e-9e4a09355bf2
Peter Item11,100111,709f77d2-3933-4451-97d9-88f92c2bd041
Phill test 1,100112,a5d04cb2-ae26-4b5b-a891-3d2fa2ec2315
Phill test 2,100113,44c85ab3-07fe-4469-9214-6c37b4434d9e
Phill test 3,100114,4e9fafc0-cb34-4118-9124-f5f97748d415
Phill test 4,100115,437f16c6-e56c-4b83-a898-c40f9e233ce3
Phill test 5,100116,88d9216f-b87d-4c04-b56d-22e62fa7db6f
Pizza Burger te,100144,8485b4c6-8855-4c69-bc86-55dcae98f0ef
Pizza BurgerRPA,100145,76bd678e-2304-4f42-9372-6c2ae19a26d9
RPA Test1,100146,a0bb52aa-f9d4-4434-beac-68d0a40503f8
Test BurgerRPA1,100147,a4d52720-771b-4d3a-a858-9d655d9eedfe
Pizza BurgerRPA,100149,01798248-cd2d-4e92-82a3-88a0526887ba
Kentucky Brg,100150,3f06c6e2-149c-4ddf-859d-b043b0c7bc4e
OR Tower Burger,100152,5622cf0f-35a9-4b30-a81e-a7491b406b3b
Zing Tower Burg,100153,f25ce1db-ae8b-41b9-a3ee-5861c34d63f8
Pizza BurgerRPA,100158,c8ebef8c-fa58-41d6-b862-478d3fda5d50
Uipath Test1,100159,0226f6ef-69df-4383-933a-4f68aafb04ae
Uipath Test6,100165,13cdc9ad-1af9-4d58-acd5-fd83644c8fb6
Uipath Test7,100167,d89b0a8e-bc29-416c-949c-d6b4f0a51523
Zinger Burger,100250,398b826b-603b-47b8-b6e0-6a7405cae74d
ZinStacker.,100260,49ee3ceb-d05a-4101-8c03-fc76dd0765da
ZingerStacker.,100261,0bacb1d6-c69f-4b67-a68d-3574c0103475
Triple Stacker,100262,9622e4e7-c9ea-42ed-a5b8-674d6a4b1e82
!ZingerStacker,100263,69da988e-52fe-4f40-9368-c84d9d9d3e90
ZStacker®,100264,ac5e10a9-cefe-47e4-80ce-4432cd2514dc
*CHOOSE BURGER*,100450,a1c93c55-70b4-475f-a7d8-e7e561607e62
Popcorn Chicken,100451,e4f8a73c-fb99-4bec-8b48-158e8443cd2b
