ProductCode,VariantCode,ItemType,ShortName,ChitName,LongName,TaxGroup,SlateRetailCategory,AvailableOnline
141010,,Lg Pepsi,Lg Pepsi,Lg Pepsi,1,100,Yes,
141020,,Reg Mt Dew,Reg Mt Dew,Reg Mt Dew,1,100,Yes,
136050,,Chocolate Mousse,Chocolate Mousse,Chocolate Mousse,1,100,Yes,
100502,,Zinger B&C.,Zinger B&C.,Zinger B&C.,1,100,Yes,
141006,,4 Reg Drinks,4 Reg Drinks,4 Reg Drinks,1,100,Yes,
184017,,20 Nuggets,20 Nuggets,20 Nuggets,1,100,Yes,
141055,,Reg Pepsi Max,Reg Pepsi Max,Reg Pepsi Max,1,100,Yes,
120002,,Original Pepper Mayo Slider,Original Pepper Mayo Slider,Original Pepper Mayo Slider,1,100,Yes,
141061,,1.25L Pepsi Max,1.25L Pepsi Max,1.25L Pepsi Max,1,100,Yes,
145004,,Watermelon Poppin Refresher,Watermelon Poppin Refresher,Watermelon Poppin Refresher,1,100,Yes,
120012,,Original Supercharged Slider,Original Supercharged Slider,Original Supercharged Slider,1,100,Yes,
120003,,BBQ Slider,BBQ Slider,BBQ Slider,1,100,Yes,
145016,,Caramel Krunch Shake,Caramel Krunch Shake,Caramel Krunch Shake,1,100,Yes,
100501,,Double Tender Burger.,Double Tender Burger.,Double Tender Burger.,1,100,Yes,
136010,,Large Chips,Large Chips,Large Chips,1,100,Yes,
136015,,Lg Chips,Lg Chips,Lg Chips,1,100,Yes,
141025,,Lg Mt Dew,Lg Mt Dew,Lg Mt Dew,1,100,Yes,
136025,,Reg Pot/Gravy,Reg Pot/Gravy,Reg Pot/Gravy,1,100,Yes,
$5 Donation,,$5 Donation,$5 Donation,$5 Donation,1,100,Yes,
Zinger Tower Burger,,Zinger Tower Burger,Zinger Tower Burger,Zinger Tower Burger,1,100,Yes,
191016,,4 Dipping Sauce,4 Dipping Sauce,4 Dipping Sauce,1,100,Yes,
185009,,Loaded Nacho Chips,Loaded Nacho Chips,Loaded Nacho Chips,1,100,Yes,
120007,,BBQ Slider $2,BBQ Slider $2,BBQ Slider $2,1,100,Yes,
170103,,OR Leg,OR Leg,OR Leg,1,100,Yes,
183004,,8 OR Tenders,8 OR Tenders,8 OR Tenders,1,100,Yes,
185002,,Snack Popcorn Chicken,Snack Popcorn Chicken,Snack Popcorn Chicken,1,100,Yes,
141015,,Reg Sunkist z,Reg Sunkist z,Reg Sunkist z,1,100,Yes,
170707,,3 Nuggets,3 Nuggets,3 Nuggets,1,100,Yes,
170106,,OR Breast,OR Breast,OR Breast,1,100,Yes,
136078,,Regular Gravy,Regular Gravy,Regular Gravy,1,100,Yes,
141031,,Lg Solo,Lg Solo,Lg Solo,1,100,Yes,
120022,,Zinger Nacho,Zinger Nacho,Zinger Nacho,1,100,Yes,
181000,,Wicked Wings - 3 Pieces,Wicked Wings - 3 Pieces,Wicked Wings - 3 Pieces,1,100,Yes,
136040,,Reg Coleslaw,Reg Coleslaw,Reg Coleslaw,1,100,Yes,
141048,,Reg Pepsi,Reg Pepsi,Reg Pepsi,1,100,Yes,
141126,,Lipton Iced Tea,Lipton Iced Tea,Lipton Iced Tea,1,100,Yes,
136068,,Zinger Protein Bowl,Zinger Protein Bowl,Zinger Protein Bowl,1,100,Yes,
145008,,Coconut Mango Shake,Coconut Mango Shake,Coconut Mango Shake,1,100,Yes,
141017,,1.25 Sunkist z,1.25 Sunkist z,1.25 Sunkist z,1,100,Yes,
181006,,30 Wicked Wings,30 Wicked Wings,30 Wicked Wings,1,100,Yes,
145001,,Spicy Mango Lemonade,Spicy Mango Lemonade,Spicy Mango Lemonade,1,100,Yes,
141013,,Sparkling Water,Sparkling Water,Sparkling Water,1,100,Yes,
136027,,Lg Pot/Gravy,Lg Pot/Gravy,Lg Pot/Gravy,1,100,Yes,
