VariantCode,ModifierGroup,ModifierItem
100500,11750,200009
100500,11750,200004
100500,11750,200008
180054,16016,170101
120012,11750,200004
120012,11750,200008
120024,11750,200003
120024,11750,200007
120024,11750,200008
180055,16017,170101
180053,16015,170101
180052,16014,170101
100501,11750,200009
100501,11750,200013
100501,11750,200004
100501,11750,200008
120009,11750,200010
120009,11750,200015
120009,11750,200006
100057,11750,200003
100057,11750,200008
100089,11750,200003
100089,11750,200009
100089,11750,200013
100089,11750,200008
180060,16022,170101
136067,11750,200010
136067,11750,200015
136067,11750,200006
180101,16018,170101
180033,16011,170101
100088,11750,200001
100088,11750,200008
100260,11750,200009
100260,11750,200011
100260,11750,200004
100260,11750,200008
100502,11750,200001
100502,11750,200005
100502,11750,200009
100502,11750,200013
100502,11750,200008
100062,11750,200009
100062,11750,200013
100062,11750,200004
100062,11750,200008
120008,11750,200003
120008,11750,200015
180066,16028,170101
120003,11750,200005
120003,11750,200008
100059,11750,200009
100059,11750,200004
100059,11750,200008
