choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Boxed Drinks,141055,,,,141110,,,.90,141110,,,
Boxed Drinks,141007,,,.0,141007,,.0,,141007,,.0,
Boxed Drinks,141040,,,,141112,,,.90,141112,,,
Boxed Drinks,141020,,,,141113,,,.90,141113,,,
Boxed Drinks,141030,,,,141114,,,.90,141114,,,
Boxed Drinks,141035,,,,141016,,,.90,141016,,,
Boxed Drinks,141070,,,.0,141070,,.0,,141070,,.0,
Boxed Drinks,141013,,,.0,141013,,.0,,141013,,.0,
Boxed Drinks,141076,,,.0,141076,,.0,,141076,,.0,
Boxed Drinks,141126,,,.0,141126,,.0,,141126,,.0,
Boxed Drinks,141123,,,.0,141123,,.0,,141123,,.0,
Boxed Drinks,141124,,,.0,141124,,.0,,141124,,.0,
Boxed Drinks,141109,,,.0,141109,,.0,,141109,,.0,
Boxed Drinks,141078,,,.0,141078,,.0,,141078,,.0,
Boxed Drinks,145019,,,.0,145019,,.0,,145019,,.0,
Boxed Drinks,145020,,,.0,145020,,.0,,145020,,.0,
Boxed Drinks,145016,,,.0,145016,,.0,,145016,,.0,
Boxed Drinks,145013,,,.0,145013,,.0,,145013,,.0,
Boxed Drinks,145014,,,.0,145014,,.0,,145014,,.0,
Boxed Drinks,145015,,,.0,145015,,.0,,145015,,.0,
Boxed Drinks,145017,,,.0,145017,,.0,,145017,,.0,
Boxed Drinks,145018,,,.0,145018,,.0,,145018,,.0,
Boxed Drinks,145012,,,.0,145012,,.0,,145012,,.0,
Boxed Drinks,145011,,,.0,145011,,.0,,145011,,.0,
