choiceCode,variantCode,variantName,upcharge_Amount
10 PC Choice,180060,10 PC,.0
6 Nuggets Choice,184000,6 Nuggets,.0
Dipping Sauces,191005,Dip Tomato,.0
Dipping Sauces,191010,Dip Aioli,.0
Dipping Sauces,191006,Dip BBQ,.0
Dipping Sauces,191007,Dip Supercharge,.0
Dipping Sauces,191008,Dip Sweet Chili,.0
Dipping Sauces,191009,Dip Sweet Sour,.0
Combo Sides Choice,136040,Reg Coleslaw,.0
Combo Sides Choice,136026,Gravy,.0
Combo Sides Choice,136046,Dinner Roll,.0
Boxed Chicken Choice - Snack Popcorn Chicken,170101,Original,.0
Boxed Chicken Choice - Snack Popcorn Chicken,182007,2 BONELESS H&C,.0
Boxed Chicken Choice - Snack Popcorn Chicken,170703,3 Wicked Wings,.0
Boxed Chicken Choice - Snack Popcorn Chicken,170102,> HOT & SPICY <,.0
Boxed Chicken Choice - Snack Popcorn Chicken,170601,TENDER,.50
Boxed Chicken Choice - Snack Popcorn Chicken,182012,Crispy Fillet,1.35
Boxed Chicken Choice - Snack Popcorn Chicken,170502,Zinger PC,1.35
Boxed Chicken Choice - Snack Popcorn Chicken,185002,Snack Popcorn,.0
Zinger Stacker® Burger Combo choice,100500,,.0
10 Wicked Wings,181002,10 Wicked Wings,.0
6 Wicked Wings,181001,6 Wicked Wings,.0
Zinger Slider Stacker Choice,100260,Zinger Stacker,.0
3 PC Original Tenders Choice,183001,3 Tenders,.0
Snack Popcorn Chicken Choice,185002,Snack Popcorn,.0
Regular Sides Choice,136046,Dinner Roll,.0
Regular Sides Choice,136026,Gravy,.0
Regular Sides Choice,136040,Reg Coleslaw,.0
Original Crispy Burger,100088,Orig Crispy Bgr,.0
Boxed Drinks,141076,Apple Juice,.0
Boxed Drinks,141126,Lipton Iced Tea,.90
Boxed Drinks,141124,Dew Freeze,.80
Boxed Drinks,141123,Pepsi Freeze,.80
Boxed Drinks,141125,Rasp Freeze,.80
21 PC Choice,180066,21 PC,.0
3 PC Choice,180053,3 PC,.0
Add Drink for $1?,141002,NO DRINK,.0
3 PC Original Recipe Choice,180053,3 PC,.0
3 Wicked Wings,170703,3 Wicked Wings,.0
4 Tenders,183008,4 Tenders,.0
6 PC Choice,180101,6 PC,.0
Slider 1,120002,Pepper Slider,.0
Boxed 3rd Sides,136046,Dinner Roll,.0
Boxed 3rd Sides,136026,Gravy,.0
Boxed 3rd Sides,136040,Reg Coleslaw,.0
Sliders Choice,120012,Super Slider,.0
Sliders Choice,120002,Pepper Slider,.0
Sliders Choice,120003,BBQ Slider,.0
