PromotionID,Combo_Name,PromotionUniqueID
4038,FLG COOKIE BOX,50b199f7-882d-4fd8-801c-6dec33cc9ece
7024,ZING & NUGS FOR 2,ffc8c8f9-c286-4a2c-b70b-a445d76951b0
9068,6 WING N CHIPS r,2ea2ddaa-c1cd-4b85-a8d0-2b8ae5b10375
9048,GO BUCK & OC BURG r,3aaddfb3-20e2-4982-aa04-e138cbf9b39a
8106,FAMILY FEAST P,79aa15dc-4bbd-45fb-9b54-13c1cb3a6f18
1036,GO BUCKET CMB,c9ac8217-d70c-4ffe-a1e7-e5326a572637
1047,ZING CHIPSTER CMB,40968892-a7b2-416d-aa32-006592667c66
9059,ALL CHKN LUNCH r,4aa4b7ab-c905-48f0-8ec9-7af8cae864c8
4036,ZINGER B&C BOX,6c0edc0b-b85c-42ad-8aaf-18fe9ead6e78
9003,DOUBLE CMB MEAL,d53cf08b-0ef4-4bc7-bdab-3851e96bc9a3
8101,FAMILY FEAST,6b0851f2-1ad6-4a28-9ae3-556e5044ef58
1112,! SNK POPCORN CMB u,2fc2e557-a051-4267-affe-86bd1ae42a2e
7052,BURGER DINNER,7603e0f9-9ad7-4df7-b21f-f17dfd8158bf
4008,TWIST OR CRUNCH BOX,80636341-f19c-4e96-a9b4-acde7d0b37b5
9021,ADD COMBO,fd11d7e0-40bd-4de1-b3b2-ed4f82b29b9e
9507,! BOGOF BURGER,b697fd1b-9ebd-4a0f-a938-44e5568fce84
9504,ORIGINAL OC FEAST,47516d42-97ec-4e09-b490-56be534ac7e8
5999,*******************,bf456d99-2b9c-46a4-9fd9-bd9ba63e7eaf
1032,OC B&C CMB,a7ec73d6-fc71-4863-88cb-0ccfbd22e35d
1117,! KIDS SLIDER u,9babb898-541a-4206-be25-03b80ca9f099
9073,ZINGER MOUSSE CMB r,fa0a1121-b360-4c75-9dad-b1efa7402038
4015,ZING CHEESY BOX,73fe04e7-fdc8-49dc-99a6-665c262b2a13
4104,TWIST OR CRUNCH BX u,6e54b0cc-b9ef-4d57-bca3-ce43d1bf4e8e
1033,OC BQ STACK CMB,39951129-2e4e-4755-b687-7bf294e16ae2
1012,ORIGINAL BOWL CMB,689e5292-9038-4f5b-b215-e4d30e603629
9026,GO BUCKET & FREEZE,fe8b94b5-6933-4446-86bf-f10fa868aa3c
7113,KENTUCKY SNACK PK,81cd3bd6-46bc-4abf-b875-ae4079873ea8
9047,2 for 1 BURGER CMB r,7e460a61-eb1a-4cd8-a37f-fa3e399fb815
7116,GO BUCKET 2WW,338bc678-8057-47b9-b565-e0571e6e08bd
10003,Finger Foods 50+,be801624-479e-4b16-9587-938e4634ba95
3001,6 NUGGET CMB,d9acf512-623f-498a-9404-260c66ddd807
9056,$5.95 KENT FEST,fed54b44-288c-4f4f-8434-65d5c4157028
8022,GIANT FEAST Pos,bd084e39-f74b-4615-8342-826ea86cd44d
4000,Bgr 2SideDrink Box,ea366329-0042-4941-a67b-cdb50099b3b5
1022,3 PC CMB,9f756ff8-6819-48e0-aea7-818ad91ed413
9012,ZINGER LUNCH,89799a3b-ccaa-4133-a550-53c77487a3f2
9500,*******************,50dcdf66-60cf-4e3b-b45f-e8a6653ff7d3
7023,ZING CMB & OR r,bdf67079-c384-43ed-8cf8-b9a12c5459d0
9517,FAMILY BURG DEAL,f8ca69b7-35d7-441a-b409-7d37a50b51b4
9062,TWIST NUGGS CMB r,2a129c77-9663-4c40-ad6b-5122bcd54b20
7118,GO BUCK 3 NUGG,4e150586-ac57-4d68-9572-a4336ada763e
9022,OC POP CHIP,c00152a1-1e36-4565-b75b-d8d0d5090587
9034,2 for 1 OC BURG r,e5069db0-e81e-4935-816d-66acfff266da
6102,! ORIG TENDERS BOX u,178fbab3-b34a-409e-91ef-abffe612745a
1116,! 6 PC H&C CMB u,cd0ef252-ae99-469a-a9b0-274d14027d44
10001,Chicken & Chips 50+,1e1edaf9-ea59-40d9-99a4-363fec186012
9027,OR TWIST LUNCH,68a31e4a-e997-4934-ba3a-66d18309b182
1016,6 WING CMB,b50ce113-0f2a-4338-97d6-2174138626a3
8004,SUMMER FEAST sa/wa,36571c47-67de-412d-a2c4-c3057c07af03
8104,! BURGER FEAST u,4725ad04-e23c-48b7-86a9-719ee0f16932
4108,OC BQ STACK BOX u,c85fa45f-9e54-424d-85a9-63ae4a5e215c
9019,$12 DBLE ZING FST,af7067ad-13c4-4f60-af0b-a30e6554af90
7026,2 for 1 LGE CHIPS,9d985792-a543-4231-a2ff-643e5215027d
3102,! 10 NUGGET CMB u,9bf4944e-b0f8-40e7-81bc-03c3948767b7
9067,$3 FREEZE & NUGGS r,a8c17e25-1bfe-4cac-948e-316cca795e33
8999,*******************,20f1ca3a-6492-4257-a402-0fb70f332f49
7018,POPCORN SLIDER PK,a957b800-7a10-4d97-83ce-7ac7bf11579b
9999,***Catering*****,aa3f1154-d301-4b1a-9432-eb980ace61e1
7006,MOUSSE n POPCORN,815020a3-754d-40ba-8976-78a46642abd9
1018,FILLET & CHIPS,ce661b8a-4b23-4458-ab15-7451722d3ef7
4103,BRG ZNG CRUNCH BOX u,7618722a-3852-458c-8a4e-c927ab713e46
1113,! 10 WING CMB u,dbff59ff-d5e4-4d42-839e-30f705cb6c7b
9018,$15 NUGGET FEASTER r,d2085752-edd8-4064-a8f5-58af247f1b1c
