choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Combo Drinks Choice,141055,,,,141110,,,.90,141110,,,
Combo Drinks Choice,141007,,,,141111,,,.90,141111,,,
Combo Drinks Choice,141040,,,,141112,,,.90,141112,,,
Combo Drinks Choice,141020,,,,141113,,,.90,141113,,,
Combo Drinks Choice,141030,,,,141114,,,.90,141114,,,
Combo Drinks Choice,141015,,,,141016,,,.90,141016,,,
Combo Drinks Choice,141070,,,.0,141070,,.0,,141070,,.0,
Combo Drinks Choice,141013,,,.0,141013,,.0,,141013,,.0,
Combo Drinks Choice,141076,,,.0,141076,,.0,,141076,,.0,
Combo Drinks Choice,141126,,,.0,141126,,.0,,141126,,.0,
Combo Drinks Choice,141078,,,.0,141078,,.0,,141078,,.0,
Combo Drinks Choice,141099,,,.80,141099,,.80,,141099,,.80,
Combo Drinks Choice,141101,,,.80,141101,,.80,,141101,,.80,
Combo Drinks Choice,141109,,,.80,141109,,.80,,141109,,.80,
Combo Drinks Choice,136031,,,.0,136031,,.0,,136031,,.0,
Combo Drinks Choice,145019,,,2.00,145019,,2.00,,145019,,2.00,
Combo Drinks Choice,145014,,,2.00,145014,,2.00,,145014,,2.00,
Combo Drinks Choice,145015,,,2.00,145015,,2.00,,145015,,2.00,
Combo Drinks Choice,145017,,,2.00,145017,,2.00,,145017,,2.00,
Combo Drinks Choice,145016,,,2.00,145016,,2.00,,145016,,2.00,
Combo Drinks Choice,145012,,,2.00,145012,,2.00,,145012,,2.00,
Combo Drinks Choice,145024,,,2.00,145024,,2.00,,145024,,2.00,
Combo Drinks Choice,145022,,,2.00,145022,,2.00,,145022,,2.00,
Combo Drinks Choice,145023,,,2.00,145023,,2.00,,145023,,2.00,
Combo Drinks Choice,145025,,,2.00,145025,,2.00,,145025,,2.00,
