choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
10 PC Choice,180060,,Orange,.0,180060,Orange,.0,,180060,Orange,.0,
6 Nuggets Choice,184000,,Orange,.0,184000,Orange,.0,,184000,Orange,.0,
Dipping Sauces,191005,,Orange,.0,191005,Orange,.0,,191005,Orange,.0,
Dipping Sauces,191010,,Orange,.0,191010,Orange,.0,,191010,Orange,.0,
Dipping Sauces,191006,,Orange,.0,191006,Orange,.0,,191006,Orange,.0,
Dipping Sauces,191007,,Orange,.0,191007,Orange,.0,,191007,Orange,.0,
Dipping Sauces,191008,,Orange,.0,191008,Orange,.0,,191008,Orange,.0,
Dipping Sauces,191009,,Orange,.0,191009,Orange,.0,,191009,Orange,.0,
Combo Sides Choice,136040,,Orange,.0,136040,Orange,.0,,136040,Orange,.0,
Combo Sides Choice,136026,,Orange,.0,136026,Orange,.0,,136026,Orange,.0,
Combo Sides Choice,136046,,Orange,.0,136046,Orange,.0,,136046,Orange,.0,
Boxed Chicken Choice - Snack Popcorn Chicken,170101,,Orange,.0,170101,Orange,.0,,170101,Orange,.0,
Boxed Chicken Choice - Snack Popcorn Chicken,182007,,Orange,.0,182007,Orange,.0,,182007,Orange,.0,
Boxed Chicken Choice - Snack Popcorn Chicken,170703,,Orange,.0,170703,Orange,.0,,170703,Orange,.0,
Boxed Chicken Choice - Snack Popcorn Chicken,170102,,Orange,.0,170102,Orange,.0,,170102,Orange,.0,
Boxed Chicken Choice - Snack Popcorn Chicken,170601,,Orange,.50,170601,Orange,.50,,170601,Orange,.50,
Boxed Chicken Choice - Snack Popcorn Chicken,182012,,Orange,1.35,182012,Orange,1.35,,182012,Orange,1.35,
Boxed Chicken Choice - Snack Popcorn Chicken,170502,,Orange,1.35,170502,Orange,1.35,,170502,Orange,1.35,
Boxed Chicken Choice - Snack Popcorn Chicken,185002,,Orange,.0,185002,Orange,.0,,185002,Orange,.0,
Zinger Stacker® Burger Combo choice,100500,,Orange,.0,100500,Orange,.0,,100500,Orange,.0,
6 Wicked Wings,181001,,Orange,.0,181001,Orange,.0,,181001,Orange,.0,
Zinger Slider Stacker Choice,100260,,Orange,.0,100260,Orange,.0,,100260,Orange,.0,
3 PC Original Tenders Choice,183001,,Orange,.0,183001,Orange,.0,,183001,Orange,.0,
Snack Popcorn Chicken Choice,185002,,Orange,.0,185002,Orange,.0,,185002,Orange,.0,
Regular Sides Choice,136046,,Orange,.0,136046,Orange,.0,,136046,Orange,.0,
Regular Sides Choice,136026,,Orange,.0,136026,Orange,.0,,136026,Orange,.0,
Regular Sides Choice,136040,,Orange,.0,136040,Orange,.0,,136040,Orange,.0,
Original Crispy Burger,100088,,Orange,.0,100088,Orange,.0,,100088,Orange,.0,
Boxed Drinks,141076,,Orange,.0,141076,Orange,.0,,141076,Orange,.0,
Boxed Drinks,141126,,Orange,.90,141126,Orange,.90,,141126,Orange,.90,
Boxed Drinks,141124,,Orange,.80,141124,,.80,,141124,,.80,
Boxed Drinks,141123,,Orange,.80,141123,,.80,,141123,,.80,
Boxed Drinks,141125,,Orange,.80,141125,,.80,,141125,,.80,
Boxed Drinks,141124,,Orange,.80,141124,,.80,,141124,,.80,
Boxed Drinks,141123,,Orange,.80,141123,,.80,,141123,,.80,
Boxed Drinks,141125,,Orange,.80,141125,,.80,,141125,,.80,
Boxed Drinks,141124,,Orange,.80,141124,,.80,,141124,,.80,
Boxed Drinks,141123,,Orange,.80,141123,,.80,,141123,,.80,
Boxed Drinks,141125,,Orange,.80,141125,,.80,,141125,,.80,
21 PC Choice,180066,,Orange,.0,180066,Orange,.0,,180066,Orange,.0,
3 PC Choice,180053,,Orange,.0,180053,Orange,.0,,180053,Orange,.0,
Add Drink for $1?,141002,,Orange,.0,141002,Orange,.0,,141002,Orange,.0,
3 PC Original Recipe Choice,180053,,Orange,.0,180053,Orange,.0,,180053,Orange,.0,
