Regular item,Do not affec....,Item highlight,Item surchar...,Upsell item 1,Item highligh...,Item surchar...1,Size surchar...,Upsell item 2,Item highligh...1,Item surchar...2,Size surcharg...,Do not affec...
Reg Pepsi Max,,None,0.00,Lg Pepsi Max,None,0.00,0.90,Lg Pepsi Max,None,0.00,0.00,
Pepsi Regular,,None,0.00,Pepsi Large,None,0.00,0.90,Pepsi Large,None,0.00,0.00,
Reg Mt Dew,,None,0.00,Lg Mountain ...,None,0.00,0.90,Lg Mountain ...,None,0.00,0.00,
Reg Solo,,None,0.00,Lg Solo,None,0.00,0.90,Lg Solo,None,0.00,0.00,
Water 600mL,,None,0.00,Water 600mL,None,0.00,0.00,Water 600mL,None,0.00,0.00,
Sparkling Wa...,,None,0.00,Sparkling Wa...,None,0.00,0.00,Sparkling Wa...,None,0.00,0.00,
Pepsi Freeze,,Orange,0.80,Pepsi Freeze,None,0.80,0.00,Pepsi Freeze,None,0.80,0.00,
Dew Freeze,,Orange,0.80,Dew Freeze,None,0.80,0.00,Dew Freeze,None,0.80,0.00,
Raspberry Fr...,,Orange,0.80,Raspberry Fr...,Orange,0.80,0.00,Raspberry Fr...,Orange,0.80,0.00,
Reg 7Up,,None,0.00,Lg 7Up,None,0.00,0.90,Lg 7Up,None,0.00,0.90,
Reg Sunkist,,None,0.00,Lg Sunkist,None,0.00,0.90,Lg Sunkist,None,0.00,0.90,
Lg Sunkist,,None,0.00,Reg Sunkist,None,0.00,0.90,Reg Sunkist,None,0.00,0.90,
Apple Juice,,None,0.00,Apple Juice,None,0.00,0.00,Apple Juice,None,0.00,0.00,
Lipton Iced Tea,,None,0.90,Lipton Iced Tea,None,0.90,0.00,Lipton Iced Tea,None,0.90,0.00,
Kids Pop Top,,None,0.00,Kids Pop Top,None,0.00,0.00,Kids Pop Top,None,0.00,0.00,
Swp Reg Chips,,None,0.00,Swp Reg Chips,None,0.00,0.00,Swp Reg Chips,None,0.00,0.00,
