Name,POSNumber,MenuItemUniqueID
PPrfdy 1,9002,58f7f5a9-6928-4fc9-8c81-12aa23eeef1a
PPrfdy,9003,efb00f47-269e-4ca9-9bec-411db1a99ad5
PPrfdy 3,9004,680e6bac-5f4a-4901-bd97-5eb6260c3dcb
test210126,9005,b1165ad3-0a9b-410e-aa53-0c33230f70b6
PPrfdy 10,9011,e8019a2a-1e4c-4f43-81fc-c259f04f08f1
PPrfdy 11,9012,99a8dc43-9170-493a-877a-faf0223e9cee
PPrfdy 13,9014,0aa10a85-254b-49bd-9420-0d0d5be1428a
PPrfdy 14,9015,30b49801-7f2a-49cb-85e9-bbc074ca124a
PPrfdy 15,9016,8450d684-9b9a-4980-96a0-817bc7b5ae4e
PPrfdy 16,9017,0bf8cfaa-05e0-48ec-ba34-1d5f25cf0459
PPrfdy 17,9019,a00850e9-2068-47c3-a2e1-377500373f0a
PPrfdy 19,9020,5ebd9421-41b5-4eea-aad1-cdff1e1e083f
PPrfdy 0,9021,fb5a8ad6-fe23-4a3e-b724-c32fc8a57760
PPrfdy 4,9025,fd3725e1-9b93-4dc8-aac8-233aebe705a0
PPrfdy 30,9031,470b7748-dff7-429d-b8f6-d70ee078b783
PPrfdy 31,9032,cd56a2a0-c1d3-4b24-813a-03210d8abc3c
PPrfdy 33,9034,be0e2192-d02f-471f-9a12-1d94e014b62f
PPrfdy 34,9035,94e0e57a-acdd-4393-a3c3-ba3e13d3367c
PPrfdy 35,9036,1c4a94bb-afa4-42ec-9985-39bc3b23008b
PPrfdy 36,9037,e5edd364-5627-43d0-81cb-2616122235d2
PPrfdy 38,9039,5814ef9e-832f-42e7-a42c-773df3748fa3
PPrfdy 39,9040,1090825f-bc79-43e1-bfc6-03f916d57208
PPrfdy 40,9041,195870b9-9e2f-4e0d-a154-d9f2728b4a83
PPrfdy 41,9042,de4048b7-5d3a-4566-b0bd-7c42a7a43a97
PPrfdy 43,9044,067c77e2-c1e9-4768-aa95-51a661a82157
PPrfdy 44,9045,09fc71e4-501b-45a0-9365-0829e630551e
<Burgers>,100000,c7c8b054-2740-4199-b116-4bdd53edc86a
---------------,100002,55d0673e-2e4b-4cc8-8c2a-bc1cd4d64dca
Make it a Combo,100040,50b97887-3d91-4a59-8e72-be0da60baf8c
SuperC Zinger,100041,060b5117-1cbc-4660-b414-49795a7d1676
Fiery Zinger,100042,e19d70f9-cc95-46c1-96ed-f860c2e31716
Double Fiery Zn,100043,ab1d7ea8-befe-4cf2-8911-faed843477ea
Dbl Fiery Pine,100044,a3cbbd10-e4b9-4da9-865e-a07b051228df
Fiery Pine Burg,100045,84ea13cf-b38b-411e-8a67-a5100cc9d76a
Philly Chez Sub,100046,785da960-7d0e-4fce-a124-27dcee4e6b8c
Double Tender,100057,6ae00aaa-af72-4412-b47c-8aa7801a8711
Z Chipster Twst,100059,54c504a0-26df-4cb0-be7c-72ca4a8926b4
