choiceCode,Regular_Item,Affect_Size,Item_Highlight,Item_Surcharge,Upsell_Item_1,Item_Highlight_1,Item_Surcharge_1,Size_Surcharge_1,Upsell_Item_2,Item_Highlight_2,Items_Surcharge_2,Size_Surcharge_2
Shared Meals 4th Side choice,136027,,,.0,136027,,.0,,136027,,.0,
Shared Meals 4th Side choice,136010,,,.0,136010,,.0,,136010,,.0,
Shared Meals 4th Side choice,136045,,,.0,136045,,.0,,136045,,.0,
Shared Meals 4th Side choice,136026,,,.0,136026,,.0,,136026,,.0,
Shared Meals 4th Side choice,136047,,,.0,136047,,.0,,136047,,.0,
Shared Meals 4th Side choice,136035,,,.0,136035,,.0,,136035,,.0,
Shared Meals 4th Side choice,141061,,,.0,141061,,.0,,141061,,.0,
Shared Meals 4th Side choice,141019,,,.0,141019,,.0,,141019,,.0,
Shared Meals 4th Side choice,141044,,,.0,141044,,.0,,141044,,.0,
Shared Meals 4th Side choice,141026,,,.0,141026,,.0,,141026,,.0,
Shared Meals 4th Side choice,141032,,,.0,141032,,.0,,141032,,.0,
Shared Meals 4th Side choice,141017,,,.0,141017,,.0,,141017,,.0,
