ProductCode,VariantCode,ItemType,Action,POSNumber,Name,Price,Status,API_Status,API_Response_Content
170506,170506,,,170506,Add Zinger PC,3.00,,,
182007,182007,,,182007,2 BONELESS H&C,3.45,,,
184010,184010,,,184010,Nuggets,0.85,,,
191001,191001,,,191001,Go 1 OR Tender,4.95,,,
120002,120002,,,120002,Original Pepper Mayo Slider,3.75,,,
141006,141006_VAR1_TEST,,Create,,4 Reg Drinks,15.00,Failed,400,"ErrorCode: Common.EntityAlreadyExists  ErrorMessage: Menu item 4 Reg Drinks already exists. [Request: 06561e61-5574-4c6b-97c3-9f6ea0c25213, Correlation: 06561e61-5574-4c6b-97c3-9f6ea0c25213, Item: 416ab4be-7125-46ad-b43e-92538b72c26d, ItemID: '', ItemName: '4 Reg Drinks']"
180089,180089,,,180089,100 HS PC,185.00,,,
184006,184006,,,184006,4 Nuggets,5.00,,,
141072,141072,,,141072,1.25L Sunkist,4.45,,,
141123,141123,,,141123,Pepsi Freeze,1.00,,,
120004,120004,,,120004,2 CR ZN Sliders,6.95,,,
100500,100500,,,100500,Zinger Stacker,10.95,,,
141078,141078_VAR1_TEST,,Create,,Kids Pop Top,3.75,Failed,400,"ErrorCode: Common.EntityAlreadyExists  ErrorMessage: Menu item Kids Pop Top already exists. [Request: 7021276d-7ac6-40b2-bdc9-88300bff88b2, Correlation: 7021276d-7ac6-40b2-bdc9-88300bff88b2, Item: 8200922b-b4ab-4db2-a3a0-70feb2683863, ItemID: '', ItemName: 'Kids Pop Top']"
205117,205117,,,205117,,0.00,,,
136066,136066,,,136066,Original Bowl,9.45,,,
184001,184001,,,184001,10 Nuggets,9.95,,,
191002,191002,,,191002,Go Popcorn,4.95,,,
200041,200041,,,200041,4 Dipping Sauce,2.00,,,
181024,181024,,,181024,11 WWings,11.00,,,
191009,191009,,,191009,Dip Sweet Sour,0.60,,,
100068,100068,,,100068,Zinger Crunch Burger™,9.95,,,
136047,136047,,,136047,4 Dinner Rolls,3.80,,,
184017,184017,,,184017,20 Nuggets,18.90,,,
182004,182004,,,182004,10 Hot Crispy,10.00,,,
136026,136026,,,136026,Gravy Regular,5.45,,,
100050,100050,,,100050,Fillet Burger,7.95,,,
100262,100262,,,100262,Triple Stacker,14.45,,,
120006,120006,,,120006,Pepper Slider,2.00,,,
141065,141065,,,141065,1.25L Mt Dew,4.45,,,
136035,136035,,,136035,Gravy 2x110g,10.90,,,
181001,181001,,,181001,6 Wicked Wings,9.95,,,
184002,184002,,,184002,12 Nuggets,11.34,,,
185504,185504,Popcorn,,185504,Popcorn Chicken Regular,5.95,,,
185001,185001,,,185001,Maxi Popcorn,9.95,,,
170101,170101,,,170101,Original,3.00,,,
182002,182002,,,182002,6 Fillets,20.95,,,
FilletPiece,FilletOriginalCrispy,,Create,,,4.95,Failed,,Cannot create the Item because Variant Name is blank.
FilletPiece,FilletOriginalRecipe,,Create,,,4.95,Failed,,Cannot create the Item because Variant Name is blank.
FilletPiece,FilletZinger,,Create,,,4.95,Failed,,Cannot create the Item because Variant Name is blank.
136040,136040,,,136040,Reg Coleslaw,5.45,,,
180054,180054,,,180054,4 PC,13.80,,,
180031,180031,,,180031,11 PC,21.00,,,
181014,181014,,,181014,10 Wicked Wings,10.00,,,
180057,180057,,,180057,1 PC,3.45,,,
120014,120014,,,120014,Super Slider,2.00,,,
120012,120012,,,120012,Original Supercharged Slider,3.75,,,
120016,120016,,,120016,Pop N Twister,8.95,,,
191013,191013,,,191013,Go 1 Hot&Crispy,4.95,,,
145168,145168,Drinks,,145168,ffwefwef,0.00,,,
170703,170703,,,170703,3 Wicked Wings,6.95,,,
185003,185003,,,185003,Popcorn Bucket,10.00,,,
120024,120024,,,120024,Nugget Slider,3.95,,,
180055,180055,,,180055,5 PC,13.29,,,
191004,191004,,,191004,Go 3 Nuggets,4.95,,,
191005,191005,,,191005,Dip Tomato,0.60,,,
182005,182005,,,182005,2 OC Fillets,7.80,,,
182019,182019,,,182019,6 Hot & Crispy,6.95,,,
141002,141002,,,141002,NO DRINK,0.00,,,
180053,180053,,,180053,3 PC,9.95,,,
170605,170605,,,170605,3 Tenders,8.95,,,
170102,170102,,,170102,Hot & Spicy,3.00,,,
170601,170601,,,170601,Original Tender,3.95,,,
185002,185002,,,185002,Snack Popcorn Chicken®,2.95,,,
191000,191000,,,191000,Go 2 WickedWing,4.95,,,
183004,183004,,,183004,8 OR Tenders,18.32,,,
136025,136025,,,136025,Reg Pot/Gravy,5.45,,,
136018,136018,,,136018,$1 Reg Chips,1.00,,,
180052,180052,,,180052,2 Pieces,6.90,,,
136004,136004,,,136004,2 Cup Chips,6.90,,,
PD0001,Lg7up,,Create,,,4.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,LgAppleJuice,,Create,,,4.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,LgMountDew,,Create,,,4.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,LgPeachTea,,Create,,,4.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,LgPepsi,,Create,,,4.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,LgPepsiMax,,Create,,,4.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,LgSolo,,Create,,,4.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,LgSunkist,,Create,,,4.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,LgSunkistNoSugar,,Create,,,4.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,Reg7up,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,RegAppleJuice,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,RegWater,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,RegMountDew,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,RegPepsi,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,RegPepsiMax,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,RegSolo,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,RegSparklWater,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,RegSunkist,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,RegSunkistNoSugar,,Create,,,3.75,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XL7up,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XLMountDew,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
PD0001,XLPepsi,,Create,,,5.45,Failed,,Cannot create the Item because Variant Name is blank.
