POSNumber,Name,Action,API_Status,API_Response_Content
170506,Add Zinger PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""f60e50f9-5957-4767-89f7-f3837adf78cc"",""Statuses"":[]}}"
182007,2 Hot & Crispy,Update,200,"{""Header"":{""Success"":true,""MessageID"":""cfe18dc5-83c0-4dcf-98bb-1486a6217f6e"",""Statuses"":[]}}"
120002,Original Pepper Mayo Slider,Update,200,"{""Header"":{""Success"":true,""MessageID"":""9d350220-8ed5-47e3-a119-ee48c1b46bc2"",""Statuses"":[]}}"
180089,100 HS PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""6b2065c4-2828-4e09-96eb-557c5ac2ccaf"",""Statuses"":[]}}"
184006,4 Nuggets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""34d37a90-280f-4bc9-b81a-3a034aee7b72"",""Statuses"":[]}}"
141072,1.25L Sunkist,Update,200,"{""Header"":{""Success"":true,""MessageID"":""e9826c64-d443-4cb1-b536-ca97709efa36"",""Statuses"":[]}}"
141123,Pepsi Freeze,Update,200,"{""Header"":{""Success"":true,""MessageID"":""3527fbb9-8978-4ce8-a64d-f5334d1e5d76"",""Statuses"":[]}}"
120004,2 CR ZN Sliders,Update,200,"{""Header"":{""Success"":true,""MessageID"":""b2f6dca2-1f81-4e0b-9fa9-9624290a91f7"",""Statuses"":[]}}"
100500,Zinger Stacker,Update,200,"{""Header"":{""Success"":true,""MessageID"":""f16ecc2a-a84a-4388-b31a-10581486d100"",""Statuses"":[]}}"
182003,2 OR Fillets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""c03420ea-439e-4092-9330-aa2affca08ff"",""Statuses"":[]}}"
136066,Original Tenders™ Crunch Bowl,Update,200,"{""Header"":{""Success"":true,""MessageID"":""3870b9c4-fcdf-44f6-8102-5cf43e42f099"",""Statuses"":[]}}"
184001,10 Nuggets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""f5d1e76d-8114-4ef6-aa25-c3de2ad5dec6"",""Statuses"":[]}}"
200041,4 Dipping Sauce,Update,200,"{""Header"":{""Success"":true,""MessageID"":""9288b610-e896-4d72-99a4-0af48672d5e6"",""Statuses"":[]}}"
181024,11 WWings,Update,200,"{""Header"":{""Success"":true,""MessageID"":""7de5eae6-b198-4067-ab9e-b11d40cec8d2"",""Statuses"":[]}}"
100068,Zinger Crunch Burger™,Update,200,"{""Header"":{""Success"":true,""MessageID"":""b1ad544f-cb13-4ab4-9469-7ec79d4f55ab"",""Statuses"":[]}}"
136047,4 Dinner Rolls,Update,200,"{""Header"":{""Success"":true,""MessageID"":""70217554-69e1-4a8c-a11f-3e5bdec1adbe"",""Statuses"":[]}}"
184017,20 Nuggets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""49eff069-c8d2-4503-9caf-7b2465e3a2d8"",""Statuses"":[]}}"
182004,10 Hot Crispy,Update,200,"{""Header"":{""Success"":true,""MessageID"":""01ccf67c-e2c2-4347-8136-3be78cd872dc"",""Statuses"":[]}}"
136026,Gravy Regular,Update,200,"{""Header"":{""Success"":true,""MessageID"":""1c878f11-7496-4be3-860a-6da160ec76c2"",""Statuses"":[]}}"
100262,Triple Stacker,Update,200,"{""Header"":{""Success"":true,""MessageID"":""c297e886-c2c3-450b-8eba-8ee80b673ddb"",""Statuses"":[]}}"
120006,Pepper Slider,Update,200,"{""Header"":{""Success"":true,""MessageID"":""701a61a7-4f41-4ae5-81a2-22be5e4aa3af"",""Statuses"":[]}}"
141065,1.25L Mt Dew,Update,200,"{""Header"":{""Success"":true,""MessageID"":""cad68607-72b0-4c83-90ea-41a88b7c5caa"",""Statuses"":[]}}"
181001,6 Wicked Wings,Update,200,"{""Header"":{""Success"":true,""MessageID"":""796ed331-c2d3-4adc-93a6-360d031987dc"",""Statuses"":[]}}"
185001,Maxi Popcorn,Update,200,"{""Header"":{""Success"":true,""MessageID"":""43b134ec-02ea-4a5f-85cb-e6dee498004e"",""Statuses"":[]}}"
170101,Original,Update,200,"{""Header"":{""Success"":true,""MessageID"":""d38ed06c-b598-456a-a81b-26dbe7df9f79"",""Statuses"":[]}}"
136040,Reg Coleslaw,Update,200,"{""Header"":{""Success"":true,""MessageID"":""0e0fc3cd-d22d-45a7-b6e0-890f463f68b6"",""Statuses"":[]}}"
180054,4 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""355ecbea-1f61-40e4-adc3-a0a52e9b4b02"",""Statuses"":[]}}"
180031,11 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""024b9122-2dab-4707-b238-e5596c7fb4f2"",""Statuses"":[]}}"
181014,10 Wicked Wings,Update,200,"{""Header"":{""Success"":true,""MessageID"":""05e14c82-2fe8-49fc-ab0e-1d9d97ed0564"",""Statuses"":[]}}"
180057,1 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""7fdd3eab-5b03-466f-8041-7973e7a8dc48"",""Statuses"":[]}}"
120014,Super Slider,Update,200,"{""Header"":{""Success"":true,""MessageID"":""2c6239e7-920a-499e-b746-85f70a67d26c"",""Statuses"":[]}}"
120012,Original Supercharged Slider,Update,200,"{""Header"":{""Success"":true,""MessageID"":""a9c53928-1292-4ba1-9a88-473be415b18a"",""Statuses"":[]}}"
191013,Go 1 Hot&Crispy,Update,200,"{""Header"":{""Success"":true,""MessageID"":""efceca53-9500-4bab-b53b-e8588b64be26"",""Statuses"":[]}}"
141055,Reg Pepsi Max,Update,200,"{""Header"":{""Success"":true,""MessageID"":""34de71bd-eb9b-470d-b8d9-5ce886da2056"",""Statuses"":[]}}"
141060,Large Pepsi Max,Update,200,"{""Header"":{""Success"":true,""MessageID"":""6f9310dc-c221-46a7-b596-1f1bf126bda7"",""Statuses"":[]}}"
141061,1.25L Pepsi Max,Update,200,"{""Header"":{""Success"":true,""MessageID"":""6bb9bbe9-2bbd-4bd4-9951-eb4242c92186"",""Statuses"":[]}}"
170703,3 Wicked Wings,Update,200,"{""Header"":{""Success"":true,""MessageID"":""397a03fa-c3be-4399-9759-41480644535d"",""Statuses"":[]}}"
120024,Nugget Slider,Update,200,"{""Header"":{""Success"":true,""MessageID"":""df342f31-3823-4844-8453-5fed634396f6"",""Statuses"":[]}}"
180055,5 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""2e6bb1c9-da29-45f1-ab62-ccec948658af"",""Statuses"":[]}}"
141043,Lg 7Up,Update,200,"{""Header"":{""Success"":true,""MessageID"":""fbd51982-4176-4605-b2f1-c0d1e73ecc0e"",""Statuses"":[]}}"
141040,Reg 7Up,Update,200,"{""Header"":{""Success"":true,""MessageID"":""253c24cf-919f-4196-85ba-e3e482519f61"",""Statuses"":[]}}"
141044,1.25L 7Up,Update,200,"{""Header"":{""Success"":true,""MessageID"":""110ddb73-80f3-44bf-b244-1144e48116fc"",""Statuses"":[]}}"
182005,2 OC Fillets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""41fe19dd-e47c-4a50-8d10-27ef22892d55"",""Statuses"":[]}}"
182019,6 Hot & Crispy,Update,200,"{""Header"":{""Success"":true,""MessageID"":""bbf828d4-7da5-44e1-8b9d-c68890aea0ec"",""Statuses"":[]}}"
141002,NO DRINK,Update,200,"{""Header"":{""Success"":true,""MessageID"":""98151a81-1070-47f9-97ee-b5f819567d1c"",""Statuses"":[]}}"
100152,OC Tower Burger,Update,200,"{""Header"":{""Success"":true,""MessageID"":""569693c2-a5cb-4e77-bee3-bade902f6365"",""Statuses"":[]}}"
180053,3 PC,Update,200,"{""Header"":{""Success"":true,""MessageID"":""1c9ffa6c-eff2-4d4b-bb2d-7d91b81e58c4"",""Statuses"":[]}}"
170605,3 Tenders,Update,200,"{""Header"":{""Success"":true,""MessageID"":""0654d3dd-71b5-42c8-b7e6-a5a38a26f44a"",""Statuses"":[]}}"
170102,Hot & Spicy,Update,200,"{""Header"":{""Success"":true,""MessageID"":""643fc716-b3d3-45b9-9f09-5138e69591b0"",""Statuses"":[]}}"
170601,Original Tender,Update,200,"{""Header"":{""Success"":true,""MessageID"":""de1f68d2-c07e-4089-860a-b79988794429"",""Statuses"":[]}}"
185002,Snack Popcorn Chicken®,Update,200,"{""Header"":{""Success"":true,""MessageID"":""b2eb5acc-9cd8-4faa-81c4-fcf0fa779546"",""Statuses"":[]}}"
183004,8 OR Tenders,Update,200,"{""Header"":{""Success"":true,""MessageID"":""90e65bff-aaf6-44e4-b85e-506619cbf1f7"",""Statuses"":[]}}"
136018,$1 Reg Chips,Update,200,"{""Header"":{""Success"":true,""MessageID"":""2e92aa94-4cb0-4984-9e54-131e2de80586"",""Statuses"":[]}}"
180052,2 Pieces,Update,200,"{""Header"":{""Success"":true,""MessageID"":""77081ab6-275b-40d3-8292-0fcfdcfcba24"",""Statuses"":[]}}"
184000,6 Nuggets,Update,200,"{""Header"":{""Success"":true,""MessageID"":""2f174f02-52d3-4c59-a019-b306b073b8e2"",""Statuses"":[]}}"
181003,15 Wicked Wings,Update,200,"{""Header"":{""Success"":true,""MessageID"":""9a384e92-cdc1-42be-9e80-ed478bf415a5"",""Statuses"":[]}}"
191010,Aioli Dip,Update,200,"{""Header"":{""Success"":true,""MessageID"":""91b6f96a-0b94-4452-90b3-ac6509ec0246"",""Statuses"":[]}}"
191006,BBQ Dip,Update,200,"{""Header"":{""Success"":true,""MessageID"":""21d7e3f1-2fe6-46d3-9aff-9f875fe9bd69"",""Statuses"":[]}}"
191007,Supercharged Dip,Update,200,"{""Header"":{""Success"":true,""MessageID"":""4326b247-d4c2-4ecc-ad88-142fec8c548d"",""Statuses"":[]}}"
191008,Sweet & Sour Dip,Update,200,"{""Header"":{""Success"":true,""MessageID"":""4700a62f-de0c-4ca5-8aab-dcb05f6474f8"",""Statuses"":[]}}"
191009,Sweet Chilli Dip,Update,200,"{""Header"":{""Success"":true,""MessageID"":""17da884d-8669-4598-823c-4d844b553219"",""Statuses"":[]}}"
191005,Tomato Dip,Update,200,"{""Header"":{""Success"":true,""MessageID"":""478dd4ae-569b-4c5b-8d2c-dd344da775fb"",""Statuses"":[]}}"
100560,No Sauce,Create,400,"{""Header"":{""Success"":false,""MessageID"":""f5ca634c-1e08-417c-b949-aa7c8f174e29"",""Statuses"":[{""ErrorCode"":""Common.EntityAlreadyExists"",""Message"":""Menu item No Sauce already exists. [Request: f5ca634c-1e08-417c-b949-aa7c8f174e29, Correlation: f5ca634c-1e08-417c-b949-aa7c8f174e29, Item: 28996b1e-f9fd-4dc6-bcd3-37b9129452e2, ItemID: '', ItemName: 'No Sauce']"",""Level"":""Error"",""UniqueIDs"":[""212f2004-c6f4-4165-8317-251f57ce9612"",""28996b1e-f9fd-4dc6-bcd3-37b9129452e2""],""Backend"":""CFC"",""CustomData"":[""No Sauce"",""1""],""EntityPath"":""MenuItem""}]}}"
141019,1.25L Pepsi,Update,200,"{""Header"":{""Success"":true,""MessageID"":""94ea3918-f6d8-43a7-aa1f-b6e80527328c"",""Statuses"":[]}}"
183005,1 Tender,Update,200,"{""Header"":{""Success"":true,""MessageID"":""f43b3b7f-31b5-4e1d-bfcb-9aabc1d2de65"",""Statuses"":[]}}"
100501,Zinger B&C,Update,200,"{""Header"":{""Success"":true,""MessageID"":""82d783e6-62e4-4c20-a5aa-6636efef31d9"",""Statuses"":[]}}"
185000,Reg Popcorn,Update,200,"{""Header"":{""Success"":true,""MessageID"":""f087ee13-2b72-43d0-9878-2ca68b423351"",""Statuses"":[]}}"
141111,Pepsi Large,Update,200,"{""Header"":{""Success"":true,""MessageID"":""8b6665b0-1bde-434d-9f9d-10092845bc1b"",""Statuses"":[]}}"
141007,Pepsi Regular,Update,200,"{""Header"":{""Success"":true,""MessageID"":""acb29a24-a3e1-4ae5-8e0f-9db261e05db1"",""Statuses"":[]}}"
141011,1.25L Pepsi,Update,200,"{""Header"":{""Success"":true,""MessageID"":""57d664f1-9421-44de-8e3f-2dfd3a3f9a2f"",""Statuses"":[]}}"
