ModifierGroupID,ModifierGroupName,ModifierItemID,ModifierItemName,MD_Status,MI_Status
11750,Burger Recipe,200008,Lettuce,Present,Present
11750,Burger Recipe,200009,Cheese,Present,Present
11750,Burger Recipe,200004,Supercharge,Present,Present
11750,Burger Recipe,200008,Lettuce,Present,Present
11750,Burger Recipe,200003,Pepper Mayo,Present,Present
11750,Burger Recipe,200015,2 Onion Rings,Present,Present
11750,Burger Recipe,200006,3 Corn Chips,Present,Present
16016,Modify 4 Pcs,170101,Original,Present,Present
11750,Burger Recipe,200004,Supercharge,Present,Present
11750,Burger Recipe,200008,Lettuce,Present,Present
16017,Modify 5 Pcs,170101,Original,Present,Present
15013,Modify 6 H&C Pcs,182011,BONELESS H&C,Present,Present
,,170101,Original,Absent,Present
16014,Modify 2 Pcs,170101,Original,Present,Present
11750,Burger Recipe,200009,Cheese,Present,Present
11750,Burger Recipe,200013,Bacon,Present,Present
11750,Burger Recipe,200004,Supercharge,Present,Present
11750,Burger Recipe,200008,Lettuce,Present,Present
,,170101,Original,Absent,Present
11750,Burger Recipe,200010,Crunchy Slaw,Present,Present
11750,Burger Recipe,200015,2 Onion Rings,Present,Present
11750,Burger Recipe,200006,3 Corn Chips,Present,Present
15012,Modify 3 H&C Pcs,182011,BONELESS H&C,Present,Present
11750,Burger Recipe,200003,Pepper Mayo,Present,Present
11750,Burger Recipe,200008,Lettuce,Present,Present
11750,Burger Recipe,200003,Pepper Mayo,Present,Present
11750,Burger Recipe,200009,Cheese,Present,Present
11750,Burger Recipe,200013,Bacon,Present,Present
11750,Burger Recipe,200008,Lettuce,Present,Present
16022,Modify 10 Pcs,170101,Original,Present,Present
11750,Burger Recipe,200010,Crunchy Slaw,Present,Present
11750,Burger Recipe,200015,2 Onion Rings,Present,Present
11750,Burger Recipe,200006,3 Corn Chips,Present,Present
,,170101,Original,Absent,Present
,,170101,Original,Absent,Present
11750,Burger Recipe,200001,Mayo,Present,Present
11750,Burger Recipe,200008,Lettuce,Present,Present
11750,Burger Recipe,200001,Mayo,Present,Present
11750,Burger Recipe,200005,BBQ Sauce,Present,Present
11750,Burger Recipe,200009,Cheese,Present,Present
11750,Burger Recipe,200013,Bacon,Present,Present
11750,Burger Recipe,200008,Lettuce,Present,Present
11750,Burger Recipe,200001,Mayo,Present,Present
11750,Burger Recipe,200008,Lettuce,Present,Present
11750,Burger Recipe,200003,Pepper Mayo,Present,Present
11750,Burger Recipe,200015,2 Onion Rings,Present,Present
16028,Modify 21 Pcs,170101,Original,Present,Present
11750,Burger Recipe,200005,BBQ Sauce,Present,Present
11750,Burger Recipe,200008,Lettuce,Present,Present
16006,Dipping Sauce,191010,Dip Aioli,Present,Present
16010,2 Dipping Sauce,191010,Dip Aioli,Present,Present
