MDPOSNumber,MDName,MDLongName
11762,Fillet Swap,Fillet Swap
11750,Burger Recipe,Burger Recipe
11770,Happy Hour,Happy Hour
16058,4 Wicked Wings,4 Wicked Wings
16077,BYO Bucket Mods Delivery price,BYO Bucket Mods Delivery price
11757,Make it a Combo,Make it a Combo
16010,2 Dipping Sauce,2 Dipping Sauce
16079,BYO Bucket Mods Doordash price,BYO Bucket Mods Doordash price
16063,14 Wicked Wings,14 Wicked Wings
16045,Modify 125 Pcs,Modify 125 Pcs
16044,Modify 75 Pcs,Modify 75 Pcs
16065,12 Wicked Wings,12 Wicked Wings
16061,3 Large Sides,3 Large Sides
16066,BYO Bucket Mods Eat Out price,BYO Bucket Mods Eat Out price
11761,Tender Swap,Tender Swap
16001,Modify 6 Tenders,Modify 6 Tenders
11768,2 Reg Drinks,2 Reg Drinks
16023,Modify 11 Pcs,Modify 11 Pcs
16050,15 Wicked Wings,15 Wicked Wings
16012,3 Dipping Sauce,3 Dipping Sauce
16054,2 Wicked Wings,2 Wicked Wings
10000,Car Details,Car Details
16053,6 Wicked Wings,6 Wicked Wings
11754,NO Part,NO Part
16017,Modify 5 Pcs,Modify 5 Pcs
11760,2x Fillet Swap,2x Fillet Swap
16033,Modify 8 Tenders,Modify 8 Tenders
16059,5 Wicked Wings,5 Wicked Wings
16035,Modify 10 Tenders,Modify 10 Tenders
16000,Modify 6 Fillet Pcs,Modify 6 Fillet Pcs
16015,Modify 3 Pcs,Modify 3 Pcs
16042,Modify 30 Pcs,Modify 30 Pcs
16003,Modify 4 Fillet Pcs,Modify 4 Fillet Pcs
16069,Modify 15 Tenders,Modify 15 Tenders
17001,Toppings,Toppings
11763,Flt/Tender Swap,Flt/Tender Swap
16056,30 Wicked Wings,30 Wicked Wings
16060,5 Dipping Sauce,5 Dipping Sauce
16068,Modify 12 Tenders,Modify 12 Tenders
11752,Modify Chips,Modify Chips
11767,4 Reg Drinks,4 Reg Drinks
16039,30 Tenders,30 Tenders
16037,4 Dipping Sauce,4 Dipping Sauce
17003,Freeze Modification,Freeze Modification
16052,10 Wicked Wings,10 Wicked Wings
16078,Add 2 Sides,Add 2 Sides
16018,Modify 6 Pcs,Modify 6 Pcs
16046,5 Large Sides,5 Large Sides
11765,Upsize Drink,Upsize Drink
16062,4 Loaded Chips Sauce,4 Loaded Chips Sauce
16041,70 Tenders,70 Tenders
16029,Modify 1 Pcs,Modify 1 Pcs
16051,3 Wicked Wings,3 Wicked Wings
16022,Modify 10 Pcs,Modify 10 Pcs
16048,12 Large Sides,12 Large Sides
16016,Modify 4 Pcs,Modify 4 Pcs
16040,50 Tenders,50 Tenders
11751,1/2 Freeze,1/2 Freeze
16031,Modify 3 Tenders,Modify 3 Tenders
16030,Modify 4 Tenders,Modify 4 Tenders
16075,8 Wicked Wings,8 Wicked Wings
16071,11 Wicked Wings,11 Wicked Wings
16032,Modify 5 Tenders,Modify 5 Tenders
16011,Modify 15 Pcs,Modify 15 Pcs
12000,BreakF Recipe,BreakF Recipe
16070,6 Dipping Sauce,6 Dipping Sauce
11759,Tender/Flt Swap,Tender/Flt Swap
11756,4 Reg Sides,4 Reg Sides
16038,20 Tenders,20 Tenders
16006,Dipping Sauce,Dipping Sauce
16028,Modify 21 Pcs,Modify 21 Pcs
16019,Modify 7 Pcs,Modify 7 Pcs
15013,Modify 6 H&C Pcs,Modify 6 H&C Pcs
16004,Modify 2 Fillet Pcs,Modify 2 Fillet Pcs
16034,Modify 2 Tenders,Modify 2 Tenders
16047,8 Large Sides,8 Large Sides
11766,Up Chips,Up Chips
16014,Modify 2 Pcs,Modify 2 Pcs
11758,PostMix Mods,PostMix Mods
16043,Modify 50 Pcs,Modify 50 Pcs
16020,Modify 8 Pcs,Modify 8 Pcs
16021,Modify 9 Pcs,Modify 9 Pcs
11753,Burger Sauce,Burger Sauce
11764,1 Reg Side,1 Reg Side
11755,Kwench Recipe,Kwench Recipe
16057,50 Wicked Wings,50 Wicked Wings
16013,Modify 23 Pcs,Modify 23 Pcs
17004,Side Salt Amount,Side Salt Amount
16055,20 Wicked Wings,20 Wicked Wings
15012,Modify 3 H&C Pcs,Modify 3 H&C Pcs
11769,Add Flt,Add Flt
16049,18 Large Sides,18 Large Sides
