Modifier_ID,ButtonRowPosition,ButtonCoulmPosition,PageDown,RPA_ButtonCount
170100,0,0,False,2
170100,0,0,False,2
170100,0,0,False,2
170120,0,1,False,5
170120,0,1,False,8
170120,0,1,False,11
170120,0,2,False,14
170120,0,2,False,17
170120,0,2,False,20
170104,1,0,False,23
170104,1,0,False,26
170104,1,0,False,29
170107,1,1,False,32
170107,1,1,False,35
170107,1,1,False,38
170105,1,2,False,41
170105,1,2,False,44
170105,1,2,False,47
170102,2,0,False,50
170102,2,0,False,53
170102,2,0,False,56
170118,2,1,False,59
170118,2,1,False,62
170118,2,1,False,65
170110,2,2,False,68
170110,2,2,False,71
170110,2,2,False,74
170108,3,0,False,77
170108,3,0,False,80
170108,3,0,False,83
170109,3,1,False,86
170109,3,1,False,89
170109,3,1,False,92
170611,3,2,False,95
170611,3,2,False,98
170611,3,2,False,101
170112,4,0,False,104
170112,4,0,False,107
170111,4,1,False,113
170111,4,1,False,116
